state,city,year,population,violent_crime,murder_and_nonnegligent_manslaughter,forcible_rape,robbery,aggravated_assault,non_violent_crime,property_crime,burglary,larceny_theft,motor_vehicle_theft
GA,Warner Robins,2011,67096,347,5,22,122,198,8156,4078,746,3156,176
,Washington D.C.,2011,617996,6985,108,172,3756,2949,56624,28312,3849,20124,4339
,Alexandria,2011,141638,252,1,14,129,108,6362,3181,303,2506,372
,Frederick,2011,65858,306,2,19,96,189,3574,1787,235,1474,78
,Loudoun,2011,,,,,,,0,,,,
IA,Waterloo,2011,68764,357,3,52,60,242,4318,2159,673,1401,85
IA,Cedar Falls,2011,39466,71,1,11,4,55,1210,605,119,453,33
WI,Wausau,2011,39276,123,0,32,21,70,2356,1178,253,890,35
WA,Wetchee,2011,32426,87,2,5,22,58,2630,1315,197,1056,62
WA,East Wetchee,2011,13397,31,0,6,7,18,1092,546,64,468,14
KS,Wichita,2011,384796,2950,25,238,490,2197,38912,19456,4005,13550,1901
TX,Wichita Falls,2011,106753,459,1,30,147,281,9752,4876,1241,3398,237
PA,Williamsport,2011,29475,100,1,8,56,35,2508,1254,222,982,50
NC,Wilmington,2011,107826,662,10,32,254,366,11416,5708,1454,3843,411
,Winchester,2011,26516,63,0,3,29,31,2234,1117,130,956,31
NC,Winston-Salem,2011,232529,1565,14,93,444,1014,27748,13874,4680,8522,672
MA,Worcester,2011,182145,1800,11,36,411,1342,12154,6077,2066,3481,530
WA,Yakima,2011,92496,481,6,48,156,271,10240,5120,1619,2841,660
PA,York,2011,43857,721,16,60,333,312,3462,1731,429,1147,155
PA,Hanover,2011,15338,26,0,3,10,13,1350,675,64,604,7
CA,Yuba City,2011,65688,210,1,20,57,132,3590,1795,348,1277,170
AZ,Yuma,2011,94381,490,4,33,66,387,6454,3227,822,2196,209
,Cidra,2011,,,,,,,0,,,,
TX,Abilene,2012,119886,472,3,38,127,304,8786,4393,1037,3185,171
OH,Akron,2012,198390,1759,24,167,577,991,20068,10034,3429,5884,721
GA,Albany,2012,78512,813,4,27,224,558,10002,5001,1408,3369,224
OR,Albany,2012,51084,44,0,10,23,11,3160,1580,224,1262,94
NY,Albany1,2012,98187,802,4,43,249,506,8680,4340,887,3299,154
NY,Schenectady1,2012,66631,626,7,32,199,388,5656,2828,810,1876,142
NY,Troy1,2012,50391,335,7,15,111,202,4744,2372,593,1677,102
